Engine 1 speed:4.28554, engine 2 speed: 4.68347, engine 3 speed: 4.25331, engine 4 speed: 4.77768
Engine 1 speed:4.19403, engine 2 speed: 4.76558, engine 3 speed: 4.33223, engine 4 speed: 4.70816
Engine 1 speed:4.28366, engine 2 speed: 4.74413, engine 3 speed: 4.2512, engine 4 speed: 4.72101
Engine 1 speed:4.26781, engine 2 speed: 4.6905, engine 3 speed: 4.26694, engine 4 speed: 4.77476
Engine 1 speed:4.26489, engine 2 speed: 4.73457, engine 3 speed: 4.26498, engine 4 speed: 4.73556
Engine 1 speed:4.28959, engine 2 speed: 4.73731, engine 3 speed: 4.24837, engine 4 speed: 4.72473
Engine 1 speed:4.28742, engine 2 speed: 4.70059, engine 3 speed: 4.24697, engine 4 speed: 4.76501
Engine 1 speed:4.23981, engine 2 speed: 4.81841, engine 3 speed: 4.29319, engine 4 speed: 4.64859
Engine 1 speed:4.24545, engine 2 speed: 4.71377, engine 3 speed: 4.2724, engine 4 speed: 4.76838
Engine 1 speed:4.28592, engine 2 speed: 4.79434, engine 3 speed: 4.2286, engine 4 speed: 4.69114
Engine 1 speed:4.27451, engine 2 speed: 4.737, engine 3 speed: 4.24278, engine 4 speed: 4.74571
Engine 1 speed:4.24283, engine 2 speed: 4.69909, engine 3 speed: 4.28732, engine 4 speed: 4.77075
Engine 1 speed:4.27002, engine 2 speed: 4.71218, engine 3 speed: 4.248, engine 4 speed: 4.76981
Engine 1 speed:4.29703, engine 2 speed: 4.78543, engine 3 speed: 4.19279, engine 4 speed: 4.72474
Engine 1 speed:4.19519, engine 2 speed: 4.78745, engine 3 speed: 4.28161, engine 4 speed: 4.73575
Engine 1 speed:4.29944, engine 2 speed: 4.68858, engine 3 speed: 4.16262, engine 4 speed: 4.84937
Engine 1 speed:4.20102, engine 2 speed: 4.81939, engine 3 speed: 4.25332, engine 4 speed: 4.72627
Engine 1 speed:4.29654, engine 2 speed: 4.69174, engine 3 speed: 4.16662, engine 4 speed: 4.8451
